Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,obfuscation w persona,logreg,Claude-3.5,"0.046 ± 0.035 [0.007, 0.102]","0.206 ± 0.048 [0.118, 0.297]","0.060 ± 0.028 [0.017, 0.108]","1.189 ± 0.072 [1.050, 1.321]","0.872 ± 0.002 [0.867, 0.876]","0.585 ± 0.003 [0.579, 0.592]","0.215 ± 0.003 [0.209, 0.220]"
EBG,obfuscation w persona,logreg,Ministral,"0.176 ± 0.044 [0.095, 0.257]","0.507 ± 0.058 [0.399, 0.617]","0.154 ± 0.041 [0.082, 0.232]","1.455 ± 0.091 [1.286, 1.628]","0.692 ± 0.006 [0.680, 0.703]","0.708 ± 0.005 [0.698, 0.718]","0.327 ± 0.008 [0.312, 0.341]"
EBG,obfuscation w persona,logreg,GPT-4o,"0.268 ± 0.051 [0.174, 0.365]","0.599 ± 0.058 [0.492, 0.714]","0.226 ± 0.048 [0.135, 0.316]","2.302 ± 0.090 [2.139, 2.474]","0.694 ± 0.005 [0.685, 0.703]","0.776 ± 0.004 [0.769, 0.785]","0.427 ± 0.006 [0.415, 0.439]"
EBG,obfuscation w persona,logreg,Llama-3.1,"0.122 ± 0.038 [0.054, 0.191]","0.412 ± 0.057 [0.305, 0.523]","0.114 ± 0.036 [0.049, 0.176]","1.594 ± 0.090 [1.426, 1.761]","0.754 ± 0.005 [0.746, 0.763]","0.695 ± 0.004 [0.686, 0.702]","0.354 ± 0.005 [0.344, 0.364]"
EBG,obfuscation w persona,logreg,Gemma-2,"0.063 ± 0.027 [0.020, 0.112]","0.266 ± 0.054 [0.163, 0.366]","0.064 ± 0.029 [0.021, 0.117]","0.530 ± 0.057 [0.431, 0.643]","0.846 ± 0.003 [0.840, 0.852]","0.615 ± 0.004 [0.608, 0.624]","0.206 ± 0.005 [0.198, 0.215]"
EBG,obfuscation w persona,svm,Claude-3.5,"0.069 ± 0.030 [0.023, 0.123]","0.179 ± 0.044 [0.103, 0.264]","0.063 ± 0.028 [0.021, 0.112]","3.960 ± 0.051 [3.863, 4.050]","0.872 ± 0.002 [0.867, 0.876]","0.585 ± 0.003 [0.579, 0.592]","0.215 ± 0.003 [0.209, 0.220]"
EBG,obfuscation w persona,svm,Ministral,"0.227 ± 0.049 [0.145, 0.327]","0.464 ± 0.058 [0.350, 0.570]","0.128 ± 0.038 [0.058, 0.195]","3.167 ± 0.089 [3.009, 3.345]","0.692 ± 0.006 [0.680, 0.703]","0.708 ± 0.005 [0.698, 0.718]","0.327 ± 0.008 [0.312, 0.341]"
EBG,obfuscation w persona,svm,GPT-4o,"0.317 ± 0.056 [0.217, 0.427]","0.627 ± 0.055 [0.526, 0.734]","0.141 ± 0.039 [0.074, 0.216]","4.287 ± 0.041 [4.209, 4.365]","0.694 ± 0.005 [0.685, 0.703]","0.776 ± 0.004 [0.769, 0.785]","0.427 ± 0.006 [0.415, 0.439]"
EBG,obfuscation w persona,svm,Llama-3.1,"0.152 ± 0.041 [0.080, 0.228]","0.465 ± 0.059 [0.352, 0.574]","0.099 ± 0.034 [0.041, 0.161]","3.509 ± 0.087 [3.342, 3.669]","0.754 ± 0.005 [0.746, 0.763]","0.695 ± 0.004 [0.686, 0.702]","0.354 ± 0.005 [0.344, 0.364]"
EBG,obfuscation w persona,svm,Gemma-2,"0.063 ± 0.028 [0.019, 0.112]","0.192 ± 0.047 [0.110, 0.284]","0.062 ± 0.027 [0.019, 0.112]","1.756 ± 0.075 [1.623, 1.902]","0.846 ± 0.003 [0.840, 0.852]","0.615 ± 0.004 [0.608, 0.624]","0.206 ± 0.005 [0.198, 0.215]"
EBG,obfuscation w persona,roberta,Claude-3.5,"0.285 ± 0.052 [0.195, 0.388]","0.493 ± 0.058 [0.382, 0.604]","0.238 ± 0.048 [0.149, 0.325]","2.768 ± 0.082 [2.621, 2.930]","0.872 ± 0.002 [0.867, 0.876]","0.585 ± 0.003 [0.579, 0.592]","0.215 ± 0.003 [0.209, 0.220]"
EBG,obfuscation w persona,roberta,Ministral,"0.501 ± 0.057 [0.388, 0.604]","0.697 ± 0.054 [0.599, 0.799]","0.475 ± 0.057 [0.367, 0.581]","1.493 ± 0.078 [1.349, 1.640]","0.692 ± 0.006 [0.680, 0.703]","0.708 ± 0.005 [0.698, 0.718]","0.327 ± 0.008 [0.312, 0.341]"
EBG,obfuscation w persona,roberta,GPT-4o,"0.506 ± 0.059 [0.399, 0.620]","0.724 ± 0.051 [0.632, 0.822]","0.496 ± 0.058 [0.389, 0.604]","1.527 ± 0.081 [1.374, 1.678]","0.694 ± 0.005 [0.685, 0.703]","0.776 ± 0.004 [0.769, 0.785]","0.427 ± 0.006 [0.415, 0.439]"
EBG,obfuscation w persona,roberta,Llama-3.1,"0.523 ± 0.058 [0.417, 0.633]","0.729 ± 0.051 [0.634, 0.823]","0.482 ± 0.057 [0.372, 0.587]","1.596 ± 0.083 [1.445, 1.758]","0.754 ± 0.005 [0.746, 0.763]","0.695 ± 0.004 [0.686, 0.702]","0.354 ± 0.005 [0.344, 0.364]"
EBG,obfuscation w persona,roberta,Gemma-2,"0.347 ± 0.057 [0.240, 0.450]","0.640 ± 0.056 [0.530, 0.740]","0.280 ± 0.052 [0.183, 0.380]","2.392 ± 0.082 [2.233, 2.543]","0.846 ± 0.003 [0.840, 0.852]","0.615 ± 0.004 [0.608, 0.624]","0.206 ± 0.005 [0.198, 0.215]"
RJ,obfuscation w persona,logreg,Claude-3.5,"0.026 ± 0.027 [0.002, 0.066]","0.165 ± 0.050 [0.076, 0.257]","0.040 ± 0.028 [0.006, 0.082]","0.796 ± 0.094 [0.625, 0.973]","0.884 ± 0.004 [0.877, 0.891]","0.596 ± 0.006 [0.584, 0.606]","0.219 ± 0.005 [0.210, 0.228]"
RJ,obfuscation w persona,logreg,Ministral,"0.054 ± 0.039 [0.009, 0.119]","0.369 ± 0.059 [0.258, 0.481]","0.071 ± 0.032 [0.022, 0.128]","0.642 ± 0.079 [0.497, 0.790]","0.712 ± 0.007 [0.700, 0.726]","0.715 ± 0.006 [0.703, 0.727]","0.325 ± 0.009 [0.308, 0.342]"
RJ,obfuscation w persona,logreg,Gemma-2,"0.126 ± 0.040 [0.055, 0.197]","0.332 ± 0.058 [0.226, 0.442]","0.122 ± 0.039 [0.057, 0.192]","0.511 ± 0.065 [0.397, 0.635]","0.776 ± 0.006 [0.765, 0.787]","0.688 ± 0.006 [0.676, 0.699]","0.310 ± 0.008 [0.295, 0.324]"
RJ,obfuscation w persona,logreg,Llama-3.1,"0.053 ± 0.040 [0.009, 0.115]","0.306 ± 0.057 [0.190, 0.408]","0.061 ± 0.029 [0.018, 0.112]","0.733 ± 0.087 [0.582, 0.904]","0.746 ± 0.006 [0.734, 0.757]","0.723 ± 0.006 [0.713, 0.735]","0.367 ± 0.007 [0.354, 0.380]"
RJ,obfuscation w persona,logreg,GPT-4o,"0.040 ± 0.035 [0.004, 0.098]","0.341 ± 0.060 [0.230, 0.453]","0.061 ± 0.029 [0.016, 0.112]","0.878 ± 0.094 [0.708, 1.055]","0.758 ± 0.006 [0.747, 0.768]","0.755 ± 0.006 [0.745, 0.766]","0.355 ± 0.007 [0.341, 0.368]"
RJ,obfuscation w persona,svm,Claude-3.5,"0.054 ± 0.039 [0.008, 0.122]","0.242 ± 0.051 [0.146, 0.336]","0.070 ± 0.030 [0.024, 0.119]","3.779 ± 0.024 [3.732, 3.822]","0.884 ± 0.004 [0.877, 0.891]","0.596 ± 0.006 [0.584, 0.606]","0.219 ± 0.005 [0.210, 0.228]"
RJ,obfuscation w persona,svm,Ministral,"0.036 ± 0.034 [0.004, 0.088]","0.296 ± 0.056 [0.182, 0.396]","0.070 ± 0.029 [0.024, 0.123]","2.627 ± 0.080 [2.479, 2.779]","0.712 ± 0.007 [0.700, 0.726]","0.715 ± 0.006 [0.703, 0.727]","0.325 ± 0.009 [0.308, 0.342]"
RJ,obfuscation w persona,svm,Gemma-2,"0.041 ± 0.038 [0.004, 0.102]","0.251 ± 0.052 [0.158, 0.354]","0.074 ± 0.031 [0.026, 0.130]","2.684 ± 0.061 [2.568, 2.798]","0.776 ± 0.006 [0.765, 0.787]","0.688 ± 0.006 [0.676, 0.699]","0.310 ± 0.008 [0.295, 0.324]"
RJ,obfuscation w persona,svm,Llama-3.1,"0.059 ± 0.041 [0.009, 0.128]","0.407 ± 0.056 [0.299, 0.513]","0.078 ± 0.029 [0.026, 0.130]","3.222 ± 0.059 [3.117, 3.339]","0.746 ± 0.006 [0.734, 0.757]","0.723 ± 0.006 [0.713, 0.735]","0.367 ± 0.007 [0.354, 0.380]"
RJ,obfuscation w persona,svm,GPT-4o,"0.047 ± 0.034 [0.007, 0.103]","0.414 ± 0.058 [0.305, 0.523]","0.081 ± 0.030 [0.033, 0.138]","3.743 ± 0.035 [3.681, 3.811]","0.758 ± 0.006 [0.747, 0.768]","0.755 ± 0.006 [0.745, 0.766]","0.355 ± 0.007 [0.341, 0.368]"
RJ,obfuscation w persona,roberta,Claude-3.5,"0.162 ± 0.042 [0.081, 0.237]","0.226 ± 0.048 [0.136, 0.319]","0.150 ± 0.040 [0.077, 0.224]","2.211 ± 0.083 [2.060, 2.371]","0.884 ± 0.004 [0.877, 0.891]","0.596 ± 0.006 [0.584, 0.606]","0.219 ± 0.005 [0.210, 0.228]"
RJ,obfuscation w persona,roberta,Ministral,"0.110 ± 0.036 [0.051, 0.178]","0.306 ± 0.054 [0.205, 0.409]","0.105 ± 0.035 [0.043, 0.166]","1.688 ± 0.075 [1.540, 1.823]","0.712 ± 0.007 [0.700, 0.726]","0.715 ± 0.006 [0.703, 0.727]","0.325 ± 0.009 [0.308, 0.342]"
RJ,obfuscation w persona,roberta,Gemma-2,"0.062 ± 0.042 [0.010, 0.135]","0.280 ± 0.052 [0.184, 0.377]","0.096 ± 0.036 [0.036, 0.162]","0.979 ± 0.079 [0.837, 1.132]","0.776 ± 0.006 [0.765, 0.787]","0.688 ± 0.006 [0.676, 0.699]","0.310 ± 0.008 [0.295, 0.324]"
RJ,obfuscation w persona,roberta,Llama-3.1,"0.182 ± 0.044 [0.098, 0.261]","0.307 ± 0.053 [0.206, 0.408]","0.158 ± 0.042 [0.086, 0.239]","1.555 ± 0.072 [1.422, 1.691]","0.746 ± 0.006 [0.734, 0.757]","0.723 ± 0.006 [0.713, 0.735]","0.367 ± 0.007 [0.354, 0.380]"
RJ,obfuscation w persona,roberta,GPT-4o,"0.165 ± 0.041 [0.092, 0.240]","0.272 ± 0.052 [0.175, 0.368]","0.160 ± 0.042 [0.087, 0.240]","1.697 ± 0.077 [1.552, 1.845]","0.758 ± 0.006 [0.747, 0.768]","0.755 ± 0.006 [0.745, 0.766]","0.355 ± 0.007 [0.341, 0.368]"
