Corpus,LLM,Threat Model,Effect_bertscore,Effect_binary_acc1,Effect_binary_acc5,Effect_entropy,Effect_pinc,Effect_true_class_confidence,Significant_bertscore,Significant_binary_acc1,Significant_binary_acc5,Significant_entropy,Significant_pinc,Significant_true_class_confidence
EBG,claude-3.5,logreg,Positive,Positive,Negative,Negative,Negative,Negative,True,False,False,False,False,False
EBG,claude-3.5,roberta,Positive,Positive,Negative,Negative,Negative,Negative,True,False,False,False,False,False
EBG,claude-3.5,svm,Positive,Positive,Negative,Negative,Negative,Negative,True,False,False,False,False,False
EBG,gemma-2,logreg,Positive,Negative,Negative,Positive,Negative,Negative,True,False,False,False,False,False
EBG,gemma-2,roberta,Positive,Negative,Negative,Positive,Negative,Negative,True,False,False,False,False,False
EBG,gemma-2,svm,Positive,Negative,Negative,Positive,Negative,Negative,True,False,False,False,False,False
EBG,gpt-4o,logreg,Positive,Negative,Positive,Negative,Negative,Negative,False,True,False,False,False,False
EBG,gpt-4o,roberta,Positive,Negative,Positive,Negative,Negative,Negative,False,True,False,False,False,False
EBG,gpt-4o,svm,Positive,Negative,Positive,Negative,Negative,Negative,False,False,False,False,False,False
EBG,llama-3.1,logreg,Negative,Negative,Positive,Positive,Positive,Negative,False,False,False,False,False,False
EBG,llama-3.1,roberta,Negative,Negative,Positive,Positive,Positive,Negative,False,False,False,False,False,False
EBG,llama-3.1,svm,Negative,Negative,Positive,Positive,Positive,Negative,False,False,False,False,False,False
EBG,ministral,logreg,Negative,Negative,Negative,Positive,Positive,Negative,False,False,False,False,False,False
EBG,ministral,roberta,Negative,Negative,Negative,Positive,Positive,Negative,False,False,False,False,False,False
EBG,ministral,svm,Negative,Negative,Negative,Positive,Positive,Negative,False,False,False,False,False,False
RJ,claude-3.5,logreg,Positive,Negative,Negative,Positive,Negative,Negative,False,True,True,False,False,False
RJ,claude-3.5,roberta,Positive,Negative,Negative,Positive,Negative,Negative,False,True,True,False,False,False
RJ,claude-3.5,svm,Positive,Negative,Negative,Positive,Negative,Negative,False,True,True,False,False,False
RJ,gemma-2,logreg,Positive,Negative,Negative,Negative,Negative,Negative,False,False,True,False,False,False
RJ,gemma-2,roberta,Positive,Negative,Negative,Negative,Negative,Negative,False,False,True,False,False,False
RJ,gemma-2,svm,Positive,Negative,Negative,Negative,Negative,Negative,False,False,True,False,False,False
RJ,gpt-4o,logreg,Positive,Negative,Negative,Positive,Negative,Negative,False,False,False,False,True,False
RJ,gpt-4o,roberta,Positive,Negative,Negative,Positive,Negative,Negative,False,False,False,False,True,False
RJ,gpt-4o,svm,Positive,Negative,Negative,Positive,Negative,Negative,False,False,False,False,True,False
RJ,llama-3.1,logreg,Positive,Negative,Negative,Positive,Negative,Negative,False,False,False,False,False,False
RJ,llama-3.1,roberta,Positive,Negative,Negative,Positive,Negative,Negative,False,False,False,False,False,False
RJ,llama-3.1,svm,Positive,Negative,Negative,Positive,Negative,Negative,False,False,False,False,False,False
RJ,ministral,logreg,Positive,Negative,Positive,Positive,Positive,Negative,False,False,False,True,False,True
RJ,ministral,roberta,Positive,Negative,Positive,Positive,Positive,Negative,False,False,False,True,False,True
RJ,ministral,svm,Positive,Negative,Positive,Positive,Positive,Negative,False,False,False,True,False,True
