Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,sbert ↑
EBG,backtranslation via de,logreg,GPT-4o,"0.520 ± 0.059 [0.406, 0.631]","0.791 ± 0.047 [0.708, 0.882]","0.374 ± 0.055 [0.272, 0.477]","2.388 ± 0.085 [2.224, 2.546]","0.379 ± 0.007 [0.366, 0.393]","0.893 ± 0.004 [0.886, 0.900]","0.971 ± 0.001 [0.968, 0.974]"
EBG,backtranslation via de,logreg,Ministral,"0.023 ± 0.023 [0.001, 0.060]","0.125 ± 0.039 [0.057, 0.197]","0.041 ± 0.024 [0.008, 0.082]","1.420 ± 0.099 [1.239, 1.606]","0.935 ± 0.005 [0.926, 0.944]","0.480 ± 0.006 [0.468, 0.492]","0.117 ± 0.012 [0.095, 0.138]"
EBG,backtranslation via de,logreg,Claude-3.5,"0.319 ± 0.053 [0.216, 0.413]","0.639 ± 0.055 [0.540, 0.746]","0.239 ± 0.049 [0.156, 0.337]","2.201 ± 0.089 [2.028, 2.365]","0.632 ± 0.006 [0.620, 0.643]","0.779 ± 0.005 [0.770, 0.789]","0.940 ± 0.003 [0.935, 0.945]"
EBG,backtranslation via de,logreg,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.138 ± 0.038 [0.069, 0.210]","0.039 ± 0.023 [0.007, 0.077]","2.484 ± 0.089 [2.314, 2.648]","0.904 ± 0.005 [0.893, 0.914]","0.512 ± 0.007 [0.498, 0.525]","0.131 ± 0.013 [0.107, 0.155]"
EBG,backtranslation via de,logreg,Gemma-2,"0.022 ± 0.026 [0.002, 0.056]","0.138 ± 0.039 [0.070, 0.212]","0.040 ± 0.021 [0.009, 0.075]","2.496 ± 0.088 [2.337, 2.665]","0.872 ± 0.009 [0.855, 0.888]","0.523 ± 0.009 [0.506, 0.541]","0.145 ± 0.014 [0.120, 0.171]"
EBG,backtranslation via de,svm,GPT-4o,"0.578 ± 0.057 [0.472, 0.687]","0.811 ± 0.046 [0.729, 0.900]","0.210 ± 0.046 [0.122, 0.293]","4.361 ± 0.035 [4.296, 4.427]","0.379 ± 0.007 [0.366, 0.393]","0.893 ± 0.004 [0.886, 0.900]","0.971 ± 0.001 [0.968, 0.974]"
EBG,backtranslation via de,svm,Ministral,"0.027 ± 0.024 [0.003, 0.064]","0.054 ± 0.037 [0.008, 0.115]","0.043 ± 0.024 [0.010, 0.083]","4.119 ± 0.047 [4.024, 4.202]","0.935 ± 0.005 [0.926, 0.944]","0.480 ± 0.006 [0.468, 0.492]","0.117 ± 0.012 [0.095, 0.138]"
EBG,backtranslation via de,svm,Claude-3.5,"0.312 ± 0.053 [0.212, 0.411]","0.577 ± 0.057 [0.463, 0.678]","0.160 ± 0.043 [0.085, 0.242]","3.962 ± 0.055 [3.859, 4.064]","0.632 ± 0.006 [0.620, 0.643]","0.779 ± 0.005 [0.770, 0.789]","0.940 ± 0.003 [0.935, 0.945]"
EBG,backtranslation via de,svm,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.060 ± 0.027 [0.017, 0.107]","0.040 ± 0.022 [0.009, 0.078]","4.273 ± 0.042 [4.195, 4.351]","0.904 ± 0.005 [0.893, 0.914]","0.512 ± 0.007 [0.498, 0.525]","0.131 ± 0.013 [0.107, 0.155]"
EBG,backtranslation via de,svm,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.084 ± 0.032 [0.034, 0.143]","0.041 ± 0.022 [0.010, 0.079]","4.273 ± 0.042 [4.196, 4.353]","0.872 ± 0.009 [0.855, 0.888]","0.523 ± 0.009 [0.506, 0.541]","0.145 ± 0.014 [0.120, 0.171]"
EBG,backtranslation via de,roberta,GPT-4o,"0.594 ± 0.055 [0.486, 0.697]","0.745 ± 0.051 [0.653, 0.842]","0.560 ± 0.056 [0.450, 0.662]","1.436 ± 0.079 [1.291, 1.586]","0.379 ± 0.007 [0.366, 0.393]","0.893 ± 0.004 [0.886, 0.900]","0.971 ± 0.001 [0.968, 0.974]"
EBG,backtranslation via de,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.124 ± 0.039 [0.056, 0.199]","0.032 ± 0.023 [0.006, 0.065]","1.922 ± 0.092 [1.747, 2.091]","0.935 ± 0.005 [0.926, 0.944]","0.480 ± 0.006 [0.468, 0.492]","0.117 ± 0.012 [0.095, 0.138]"
EBG,backtranslation via de,roberta,Claude-3.5,"0.540 ± 0.056 [0.432, 0.646]","0.716 ± 0.051 [0.622, 0.811]","0.507 ± 0.057 [0.397, 0.615]","1.442 ± 0.080 [1.293, 1.590]","0.632 ± 0.006 [0.620, 0.643]","0.779 ± 0.005 [0.770, 0.789]","0.940 ± 0.003 [0.935, 0.945]"
EBG,backtranslation via de,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.134 ± 0.038 [0.065, 0.203]","0.028 ± 0.020 [0.005, 0.063]","1.301 ± 0.078 [1.157, 1.452]","0.904 ± 0.005 [0.893, 0.914]","0.512 ± 0.007 [0.498, 0.525]","0.131 ± 0.013 [0.107, 0.155]"
EBG,backtranslation via de,roberta,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.118 ± 0.036 [0.054, 0.186]","0.029 ± 0.020 [0.005, 0.061]","1.336 ± 0.080 [1.192, 1.489]","0.872 ± 0.009 [0.855, 0.888]","0.523 ± 0.009 [0.506, 0.541]","0.145 ± 0.014 [0.120, 0.171]"
RJ,backtranslation via de,logreg,Llama-3.1,"0.117 ± 0.038 [0.051, 0.187]","0.280 ± 0.053 [0.181, 0.376]","0.118 ± 0.036 [0.053, 0.184]","0.872 ± 0.082 [0.726, 1.031]","0.900 ± 0.003 [0.893, 0.907]","0.549 ± 0.006 [0.538, 0.560]","0.506 ± 0.009 [0.489, 0.523]"
RJ,backtranslation via de,logreg,Gemma-2,"0.100 ± 0.034 [0.043, 0.164]","0.272 ± 0.052 [0.175, 0.368]","0.107 ± 0.034 [0.051, 0.174]","1.006 ± 0.090 [0.831, 1.170]","0.901 ± 0.003 [0.895, 0.908]","0.548 ± 0.006 [0.538, 0.560]","0.510 ± 0.009 [0.493, 0.526]"
RJ,backtranslation via de,logreg,GPT-4o,"0.117 ± 0.038 [0.052, 0.187]","0.548 ± 0.059 [0.432, 0.661]","0.131 ± 0.040 [0.059, 0.203]","0.803 ± 0.077 [0.669, 0.959]","0.369 ± 0.008 [0.352, 0.384]","0.919 ± 0.004 [0.912, 0.926]","0.956 ± 0.003 [0.950, 0.961]"
RJ,backtranslation via de,logreg,Ministral,"0.057 ± 0.045 [0.006, 0.137]","0.233 ± 0.057 [0.126, 0.338]","0.079 ± 0.040 [0.021, 0.154]","0.768 ± 0.094 [0.594, 0.946]","0.924 ± 0.006 [0.913, 0.935]","0.515 ± 0.008 [0.500, 0.529]","0.441 ± 0.016 [0.411, 0.469]"
RJ,backtranslation via de,logreg,Claude-3.5,"0.029 ± 0.027 [0.002, 0.076]","0.296 ± 0.056 [0.191, 0.403]","0.053 ± 0.026 [0.015, 0.099]","0.729 ± 0.078 [0.592, 0.881]","0.705 ± 0.008 [0.692, 0.721]","0.781 ± 0.006 [0.769, 0.792]","0.888 ± 0.006 [0.877, 0.898]"
RJ,backtranslation via de,svm,Llama-3.1,"0.074 ± 0.030 [0.026, 0.126]","0.245 ± 0.051 [0.148, 0.339]","0.074 ± 0.030 [0.024, 0.127]","3.177 ± 0.073 [3.035, 3.308]","0.900 ± 0.003 [0.893, 0.907]","0.549 ± 0.006 [0.538, 0.560]","0.506 ± 0.009 [0.489, 0.523]"
