Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,sbert ↑
EBG,backtranslation via zh,logreg,Claude-3.5,"0.306 ± 0.054 [0.208, 0.406]","0.566 ± 0.057 [0.452, 0.669]","0.220 ± 0.047 [0.138, 0.312]","2.191 ± 0.087 [2.028, 2.354]","0.700 ± 0.005 [0.690, 0.710]","0.762 ± 0.004 [0.754, 0.769]","0.932 ± 0.003 [0.928, 0.937]"
EBG,backtranslation via zh,logreg,Ministral,"0.021 ± 0.024 [0.002, 0.051]","0.129 ± 0.038 [0.061, 0.198]","0.045 ± 0.025 [0.010, 0.087]","2.308 ± 0.090 [2.139, 2.477]","0.910 ± 0.005 [0.902, 0.919]","0.507 ± 0.009 [0.490, 0.524]","0.132 ± 0.013 [0.107, 0.155]"
EBG,backtranslation via zh,logreg,Llama-3.1,"0.026 ± 0.022 [0.002, 0.062]","0.126 ± 0.038 [0.060, 0.198]","0.043 ± 0.026 [0.008, 0.082]","2.557 ± 0.090 [2.387, 2.725]","0.900 ± 0.006 [0.888, 0.911]","0.513 ± 0.007 [0.499, 0.527]","0.132 ± 0.013 [0.109, 0.156]"
EBG,backtranslation via zh,logreg,Gemma-2,"0.021 ± 0.024 [0.001, 0.055]","0.134 ± 0.038 [0.064, 0.203]","0.040 ± 0.021 [0.008, 0.076]","2.506 ± 0.087 [2.344, 2.666]","0.858 ± 0.010 [0.840, 0.877]","0.521 ± 0.009 [0.504, 0.537]","0.151 ± 0.015 [0.124, 0.179]"
EBG,backtranslation via zh,logreg,GPT-4o,"0.470 ± 0.059 [0.358, 0.579]","0.728 ± 0.050 [0.630, 0.818]","0.365 ± 0.056 [0.264, 0.475]","2.359 ± 0.087 [2.191, 2.520]","0.460 ± 0.007 [0.446, 0.472]","0.864 ± 0.004 [0.857, 0.871]","0.959 ± 0.002 [0.955, 0.963]"
EBG,backtranslation via zh,svm,Claude-3.5,"0.255 ± 0.050 [0.153, 0.341]","0.528 ± 0.058 [0.418, 0.635]","0.137 ± 0.039 [0.069, 0.209]","4.024 ± 0.047 [3.936, 4.114]","0.700 ± 0.005 [0.690, 0.710]","0.762 ± 0.004 [0.754, 0.769]","0.932 ± 0.003 [0.928, 0.937]"
EBG,backtranslation via zh,svm,Ministral,"0.027 ± 0.024 [0.003, 0.064]","0.095 ± 0.034 [0.041, 0.161]","0.046 ± 0.027 [0.010, 0.086]","4.178 ± 0.051 [4.083, 4.272]","0.910 ± 0.005 [0.902, 0.919]","0.507 ± 0.009 [0.490, 0.524]","0.132 ± 0.013 [0.107, 0.155]"
EBG,backtranslation via zh,svm,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.069 ± 0.030 [0.021, 0.121]","0.040 ± 0.021 [0.009, 0.077]","4.311 ± 0.039 [4.239, 4.384]","0.900 ± 0.006 [0.888, 0.911]","0.513 ± 0.007 [0.499, 0.527]","0.132 ± 0.013 [0.109, 0.156]"
EBG,backtranslation via zh,svm,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.079 ± 0.030 [0.031, 0.137]","0.042 ± 0.024 [0.009, 0.082]","4.296 ± 0.039 [4.220, 4.369]","0.858 ± 0.010 [0.840, 0.877]","0.521 ± 0.009 [0.504, 0.537]","0.151 ± 0.015 [0.124, 0.179]"
EBG,backtranslation via zh,svm,GPT-4o,"0.547 ± 0.060 [0.428, 0.659]","0.740 ± 0.052 [0.637, 0.830]","0.204 ± 0.045 [0.120, 0.290]","4.323 ± 0.038 [4.252, 4.397]","0.460 ± 0.007 [0.446, 0.472]","0.864 ± 0.004 [0.857, 0.871]","0.959 ± 0.002 [0.955, 0.963]"
EBG,backtranslation via zh,roberta,Claude-3.5,"0.519 ± 0.058 [0.408, 0.631]","0.710 ± 0.052 [0.619, 0.818]","0.497 ± 0.056 [0.385, 0.595]","1.419 ± 0.077 [1.274, 1.562]","0.700 ± 0.005 [0.690, 0.710]","0.762 ± 0.004 [0.754, 0.769]","0.932 ± 0.003 [0.928, 0.937]"
EBG,backtranslation via zh,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.131 ± 0.037 [0.065, 0.199]","0.030 ± 0.020 [0.004, 0.062]","1.429 ± 0.080 [1.282, 1.580]","0.910 ± 0.005 [0.902, 0.919]","0.507 ± 0.009 [0.490, 0.524]","0.132 ± 0.013 [0.107, 0.155]"
EBG,backtranslation via zh,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.129 ± 0.038 [0.063, 0.200]","0.028 ± 0.021 [0.004, 0.060]","1.291 ± 0.078 [1.144, 1.434]","0.900 ± 0.006 [0.888, 0.911]","0.513 ± 0.007 [0.499, 0.527]","0.132 ± 0.013 [0.109, 0.156]"
EBG,backtranslation via zh,roberta,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.117 ± 0.036 [0.054, 0.184]","0.029 ± 0.020 [0.005, 0.062]","1.335 ± 0.080 [1.187, 1.489]","0.858 ± 0.010 [0.840, 0.877]","0.521 ± 0.009 [0.504, 0.537]","0.151 ± 0.015 [0.124, 0.179]"
EBG,backtranslation via zh,roberta,GPT-4o,"0.582 ± 0.057 [0.473, 0.688]","0.732 ± 0.050 [0.633, 0.819]","0.547 ± 0.058 [0.436, 0.656]","1.469 ± 0.082 [1.319, 1.626]","0.460 ± 0.007 [0.446, 0.472]","0.864 ± 0.004 [0.857, 0.871]","0.959 ± 0.002 [0.955, 0.963]"
