Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,sbert ↑
EBG,obfuscation,logreg,Llama-3.1,"0.036 ± 0.029 [0.005, 0.081]","0.137 ± 0.039 [0.067, 0.207]","0.053 ± 0.025 [0.015, 0.098]","2.740 ± 0.090 [2.565, 2.906]","0.939 ± 0.002 [0.936, 0.943]","0.499 ± 0.004 [0.492, 0.507]","0.124 ± 0.012 [0.100, 0.146]"
EBG,obfuscation,logreg,Gemma-2,"0.041 ± 0.029 [0.007, 0.091]","0.157 ± 0.043 [0.081, 0.237]","0.055 ± 0.027 [0.015, 0.101]","2.627 ± 0.083 [2.475, 2.785]","0.941 ± 0.002 [0.937, 0.945]","0.503 ± 0.004 [0.495, 0.511]","0.126 ± 0.013 [0.103, 0.151]"
EBG,obfuscation,logreg,Ministral,"0.028 ± 0.025 [0.003, 0.068]","0.140 ± 0.041 [0.069, 0.216]","0.040 ± 0.023 [0.009, 0.076]","2.136 ± 0.085 [1.986, 2.307]","0.936 ± 0.002 [0.932, 0.940]","0.491 ± 0.004 [0.483, 0.499]","0.122 ± 0.012 [0.098, 0.144]"
EBG,obfuscation,logreg,Claude-3.5,"0.134 ± 0.039 [0.065, 0.206]","0.376 ± 0.057 [0.267, 0.480]","0.121 ± 0.036 [0.056, 0.187]","1.972 ± 0.081 [1.817, 2.121]","0.859 ± 0.004 [0.851, 0.867]","0.650 ± 0.004 [0.642, 0.657]","0.856 ± 0.004 [0.849, 0.864]"
EBG,obfuscation,logreg,GPT-4o,"0.392 ± 0.056 [0.293, 0.506]","0.577 ± 0.058 [0.468, 0.685]","0.273 ± 0.051 [0.176, 0.370]","2.525 ± 0.083 [2.374, 2.685]","0.678 ± 0.005 [0.668, 0.689]","0.802 ± 0.004 [0.794, 0.810]","0.941 ± 0.002 [0.937, 0.946]"
EBG,obfuscation,svm,Llama-3.1,"0.018 ± 0.023 [0.001, 0.048]","0.110 ± 0.035 [0.048, 0.173]","0.046 ± 0.023 [0.011, 0.085]","4.438 ± 0.030 [4.381, 4.494]","0.939 ± 0.002 [0.936, 0.943]","0.499 ± 0.004 [0.492, 0.507]","0.124 ± 0.012 [0.100, 0.146]"
EBG,obfuscation,svm,Gemma-2,"0.029 ± 0.026 [0.003, 0.073]","0.122 ± 0.039 [0.055, 0.197]","0.047 ± 0.024 [0.012, 0.087]","4.362 ± 0.034 [4.298, 4.425]","0.941 ± 0.002 [0.937, 0.945]","0.503 ± 0.004 [0.495, 0.511]","0.126 ± 0.013 [0.103, 0.151]"
EBG,obfuscation,svm,Ministral,"0.067 ± 0.027 [0.023, 0.115]","0.134 ± 0.040 [0.064, 0.207]","0.053 ± 0.025 [0.014, 0.095]","4.124 ± 0.041 [4.041, 4.197]","0.936 ± 0.002 [0.932, 0.940]","0.491 ± 0.004 [0.483, 0.499]","0.122 ± 0.012 [0.098, 0.144]"
EBG,obfuscation,svm,Claude-3.5,"0.088 ± 0.033 [0.031, 0.147]","0.284 ± 0.051 [0.190, 0.382]","0.080 ± 0.031 [0.030, 0.134]","3.301 ± 0.050 [3.205, 3.393]","0.859 ± 0.004 [0.851, 0.867]","0.650 ± 0.004 [0.642, 0.657]","0.856 ± 0.004 [0.849, 0.864]"
EBG,obfuscation,svm,GPT-4o,"0.339 ± 0.057 [0.232, 0.443]","0.661 ± 0.056 [0.559, 0.770]","0.145 ± 0.040 [0.079, 0.226]","4.442 ± 0.030 [4.387, 4.499]","0.678 ± 0.005 [0.668, 0.689]","0.802 ± 0.004 [0.794, 0.810]","0.941 ± 0.002 [0.937, 0.946]"
EBG,obfuscation,roberta,Llama-3.1,"0.014 ± 0.019 [0.001, 0.037]","0.088 ± 0.031 [0.036, 0.148]","0.029 ± 0.024 [0.005, 0.062]","1.415 ± 0.079 [1.272, 1.566]","0.939 ± 0.002 [0.936, 0.943]","0.499 ± 0.004 [0.492, 0.507]","0.124 ± 0.012 [0.100, 0.146]"
EBG,obfuscation,roberta,Gemma-2,"0.014 ± 0.019 [0.001, 0.037]","0.086 ± 0.034 [0.033, 0.151]","0.028 ± 0.019 [0.004, 0.061]","1.567 ± 0.082 [1.415, 1.723]","0.941 ± 0.002 [0.937, 0.945]","0.503 ± 0.004 [0.495, 0.511]","0.126 ± 0.013 [0.103, 0.151]"
EBG,obfuscation,roberta,Ministral,"0.014 ± 0.019 [0.001, 0.037]","0.130 ± 0.038 [0.060, 0.198]","0.031 ± 0.021 [0.005, 0.063]","1.474 ± 0.078 [1.335, 1.626]","0.936 ± 0.002 [0.932, 0.940]","0.491 ± 0.004 [0.483, 0.499]","0.122 ± 0.012 [0.098, 0.144]"
EBG,obfuscation,roberta,Claude-3.5,"0.451 ± 0.056 [0.348, 0.561]","0.662 ± 0.054 [0.554, 0.763]","0.425 ± 0.058 [0.315, 0.531]","1.538 ± 0.079 [1.402, 1.697]","0.859 ± 0.004 [0.851, 0.867]","0.650 ± 0.004 [0.642, 0.657]","0.856 ± 0.004 [0.849, 0.864]"
EBG,obfuscation,roberta,GPT-4o,"0.531 ± 0.057 [0.417, 0.635]","0.745 ± 0.051 [0.653, 0.842]","0.508 ± 0.057 [0.405, 0.615]","1.540 ± 0.082 [1.392, 1.698]","0.678 ± 0.005 [0.668, 0.689]","0.802 ± 0.004 [0.794, 0.810]","0.941 ± 0.002 [0.937, 0.946]"
RJ,obfuscation,logreg,Gemma-2,"0.020 ± 0.023 [0.001, 0.055]","0.189 ± 0.047 [0.102, 0.276]","0.035 ± 0.021 [0.009, 0.071]","1.120 ± 0.113 [0.923, 1.346]","0.927 ± 0.003 [0.921, 0.932]","0.539 ± 0.006 [0.528, 0.549]","0.517 ± 0.010 [0.498, 0.535]"
RJ,obfuscation,logreg,Llama-3.1,"0.091 ± 0.034 [0.034, 0.151]","0.282 ± 0.054 [0.181, 0.380]","0.096 ± 0.034 [0.036, 0.154]","1.018 ± 0.108 [0.816, 1.224]","0.925 ± 0.003 [0.919, 0.931]","0.543 ± 0.006 [0.531, 0.553]","0.513 ± 0.009 [0.495, 0.531]"
RJ,obfuscation,logreg,Claude-3.5,"0.042 ± 0.039 [0.004, 0.108]","0.299 ± 0.053 [0.202, 0.398]","0.056 ± 0.028 [0.015, 0.105]","0.869 ± 0.097 [0.683, 1.044]","0.911 ± 0.003 [0.904, 0.917]","0.626 ± 0.006 [0.616, 0.637]","0.735 ± 0.007 [0.721, 0.749]"
RJ,obfuscation,logreg,Ministral,"0.074 ± 0.030 [0.026, 0.126]","0.317 ± 0.055 [0.221, 0.424]","0.079 ± 0.030 [0.029, 0.133]","0.856 ± 0.105 [0.665, 1.060]","0.920 ± 0.003 [0.914, 0.926]","0.540 ± 0.006 [0.530, 0.551]","0.530 ± 0.010 [0.510, 0.550]"
RJ,obfuscation,logreg,GPT-4o,"0.045 ± 0.039 [0.004, 0.108]","0.323 ± 0.061 [0.213, 0.447]","0.072 ± 0.032 [0.022, 0.128]","0.910 ± 0.095 [0.742, 1.097]","0.739 ± 0.006 [0.728, 0.750]","0.783 ± 0.006 [0.772, 0.793]","0.872 ± 0.007 [0.859, 0.884]"
RJ,obfuscation,svm,Gemma-2,"0.059 ± 0.041 [0.008, 0.128]","0.208 ± 0.047 [0.123, 0.298]","0.068 ± 0.029 [0.021, 0.118]","3.837 ± 0.024 [3.791, 3.881]","0.927 ± 0.003 [0.921, 0.932]","0.539 ± 0.006 [0.528, 0.549]","0.517 ± 0.010 [0.498, 0.535]"
