Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,simplification w exemplar,logreg,Llama-3.1,"0.046 ± 0.032 [0.006, 0.102]","0.118 ± 0.040 [0.050, 0.192]","0.048 ± 0.025 [0.011, 0.090]","2.440 ± 0.092 [2.272, 2.616]","0.911 ± 0.002 [0.906, 0.915]","0.488 ± 0.004 [0.482, 0.495]","0.152 ± 0.003 [0.147, 0.158]"
EBG,simplification w exemplar,logreg,Claude-3.5,"0.176 ± 0.045 [0.095, 0.259]","0.543 ± 0.057 [0.436, 0.653]","0.163 ± 0.043 [0.090, 0.245]","2.172 ± 0.077 [2.034, 2.324]","0.803 ± 0.003 [0.797, 0.809]","0.651 ± 0.004 [0.644, 0.658]","0.228 ± 0.004 [0.221, 0.235]"
EBG,simplification w exemplar,logreg,Ministral,"0.031 ± 0.027 [0.003, 0.075]","0.120 ± 0.041 [0.054, 0.197]","0.046 ± 0.025 [0.010, 0.089]","1.939 ± 0.090 [1.766, 2.103]","0.908 ± 0.003 [0.904, 0.913]","0.474 ± 0.004 [0.467, 0.481]","0.102 ± 0.002 [0.097, 0.106]"
EBG,simplification w exemplar,logreg,Gemma-2,"0.031 ± 0.029 [0.003, 0.074]","0.131 ± 0.037 [0.065, 0.199]","0.049 ± 0.025 [0.012, 0.091]","2.134 ± 0.089 [1.971, 2.302]","0.904 ± 0.002 [0.900, 0.908]","0.482 ± 0.004 [0.475, 0.488]","0.122 ± 0.003 [0.117, 0.127]"
EBG,simplification w exemplar,logreg,GPT-4o,"0.263 ± 0.052 [0.170, 0.365]","0.540 ± 0.059 [0.427, 0.647]","0.224 ± 0.049 [0.135, 0.316]","2.526 ± 0.088 [2.364, 2.695]","0.662 ± 0.005 [0.652, 0.673]","0.739 ± 0.004 [0.731, 0.746]","0.356 ± 0.006 [0.346, 0.368]"
EBG,simplification w exemplar,svm,Llama-3.1,"0.038 ± 0.030 [0.004, 0.082]","0.154 ± 0.042 [0.080, 0.232]","0.053 ± 0.027 [0.014, 0.099]","3.861 ± 0.057 [3.751, 3.964]","0.911 ± 0.002 [0.906, 0.915]","0.488 ± 0.004 [0.482, 0.495]","0.152 ± 0.003 [0.147, 0.158]"
EBG,simplification w exemplar,svm,Claude-3.5,"0.227 ± 0.049 [0.137, 0.319]","0.393 ± 0.057 [0.287, 0.504]","0.118 ± 0.038 [0.053, 0.187]","4.060 ± 0.036 [3.992, 4.126]","0.803 ± 0.003 [0.797, 0.809]","0.651 ± 0.004 [0.644, 0.658]","0.228 ± 0.004 [0.221, 0.235]"
EBG,simplification w exemplar,svm,Ministral,"0.040 ± 0.031 [0.006, 0.088]","0.130 ± 0.038 [0.065, 0.202]","0.055 ± 0.026 [0.017, 0.104]","3.088 ± 0.064 [2.968, 3.209]","0.908 ± 0.003 [0.904, 0.913]","0.474 ± 0.004 [0.467, 0.481]","0.102 ± 0.002 [0.097, 0.106]"
EBG,simplification w exemplar,svm,Gemma-2,"0.026 ± 0.025 [0.003, 0.062]","0.147 ± 0.044 [0.074, 0.225]","0.044 ± 0.023 [0.010, 0.082]","3.333 ± 0.071 [3.202, 3.469]","0.904 ± 0.002 [0.900, 0.908]","0.482 ± 0.004 [0.475, 0.488]","0.122 ± 0.003 [0.117, 0.127]"
EBG,simplification w exemplar,svm,GPT-4o,"0.292 ± 0.055 [0.188, 0.393]","0.539 ± 0.060 [0.421, 0.645]","0.147 ± 0.039 [0.077, 0.221]","4.090 ± 0.045 [4.001, 4.172]","0.662 ± 0.005 [0.652, 0.673]","0.739 ± 0.004 [0.731, 0.746]","0.356 ± 0.006 [0.346, 0.368]"
