Corpus,Scenario,Threat Model,Defense Model,accuracy@1 ↓,accuracy@5 ↓,true_class_confidence ↓,entropy ↑,pinc ↑,bertscore ↑,meteor ↑
EBG,imitation w 2500words,logreg,GPT-4o,"0.333 ± 0.056 [0.226, 0.435]","0.610 ± 0.057 [0.504, 0.722]","0.260 ± 0.050 [0.170, 0.358]","2.338 ± 0.087 [2.174, 2.503]","0.611 ± 0.006 [0.600, 0.623]","0.819 ± 0.004 [0.812, 0.827]","0.508 ± 0.007 [0.495, 0.522]"
EBG,imitation w 2500words,logreg,Llama-3.1,"0.062 ± 0.027 [0.017, 0.110]","0.142 ± 0.040 [0.068, 0.216]","0.058 ± 0.027 [0.016, 0.104]","2.503 ± 0.091 [2.324, 2.667]","0.930 ± 0.002 [0.925, 0.934]","0.499 ± 0.004 [0.490, 0.507]","0.183 ± 0.003 [0.176, 0.189]"
EBG,imitation w 2500words,logreg,Gemma-2,"0.029 ± 0.026 [0.003, 0.073]","0.138 ± 0.039 [0.069, 0.212]","0.043 ± 0.027 [0.009, 0.085]","0.663 ± 0.056 [0.562, 0.770]","0.929 ± 0.002 [0.925, 0.932]","0.484 ± 0.003 [0.478, 0.491]","0.151 ± 0.003 [0.146, 0.156]"
EBG,imitation w 2500words,logreg,Ministral,"0.029 ± 0.028 [0.002, 0.072]","0.113 ± 0.035 [0.051, 0.177]","0.041 ± 0.024 [0.010, 0.081]","1.911 ± 0.094 [1.738, 2.089]","0.925 ± 0.003 [0.920, 0.930]","0.492 ± 0.005 [0.482, 0.502]","0.165 ± 0.004 [0.158, 0.173]"
EBG,imitation w 2500words,logreg,Claude-3.5,"0.057 ± 0.027 [0.016, 0.104]","0.234 ± 0.048 [0.142, 0.323]","0.061 ± 0.027 [0.018, 0.111]","0.734 ± 0.056 [0.631, 0.842]","0.856 ± 0.003 [0.851, 0.861]","0.615 ± 0.004 [0.609, 0.622]","0.211 ± 0.003 [0.205, 0.218]"
EBG,imitation w 2500words,svm,GPT-4o,"0.365 ± 0.057 [0.262, 0.478]","0.671 ± 0.056 [0.568, 0.779]","0.153 ± 0.041 [0.075, 0.226]","4.295 ± 0.039 [4.221, 4.368]","0.611 ± 0.006 [0.600, 0.623]","0.819 ± 0.004 [0.812, 0.827]","0.508 ± 0.007 [0.495, 0.522]"
EBG,imitation w 2500words,svm,Llama-3.1,"0.021 ± 0.022 [0.002, 0.052]","0.171 ± 0.043 [0.094, 0.249]","0.054 ± 0.026 [0.014, 0.099]","4.339 ± 0.041 [4.254, 4.411]","0.930 ± 0.002 [0.925, 0.934]","0.499 ± 0.004 [0.490, 0.507]","0.183 ± 0.003 [0.176, 0.189]"
EBG,imitation w 2500words,svm,Gemma-2,"0.027 ± 0.024 [0.003, 0.064]","0.127 ± 0.038 [0.058, 0.196]","0.047 ± 0.024 [0.013, 0.089]","1.789 ± 0.083 [1.635, 1.944]","0.929 ± 0.002 [0.925, 0.932]","0.484 ± 0.003 [0.478, 0.491]","0.151 ± 0.003 [0.146, 0.156]"
EBG,imitation w 2500words,svm,Ministral,"0.070 ± 0.029 [0.021, 0.121]","0.142 ± 0.040 [0.068, 0.216]","0.052 ± 0.025 [0.014, 0.095]","3.609 ± 0.077 [3.466, 3.752]","0.925 ± 0.003 [0.920, 0.930]","0.491 ± 0.005 [0.483, 0.500]","0.165 ± 0.004 [0.158, 0.173]"
EBG,imitation w 2500words,svm,Claude-3.5,"0.054 ± 0.026 [0.015, 0.100]","0.176 ± 0.043 [0.101, 0.259]","0.062 ± 0.026 [0.020, 0.111]","1.834 ± 0.070 [1.705, 1.967]","0.856 ± 0.003 [0.851, 0.861]","0.615 ± 0.004 [0.609, 0.622]","0.211 ± 0.003 [0.205, 0.218]"
